timestamp,exchange,open,high,low,close,volume,trade_count,vwap
2022-11-24 06:00:00+00:00,BNCU,16642.7,16650.14,16636.3,16645.75,2.730077,81,16641.2273689533
2022-11-24 06:00:00+00:00,CBSE,16641.52,16652.31,16640.28,16650.78,29.61542794,342,16644.5273659861
2022-11-24 06:00:00+00:00,ERSX,16640.0,16648.3,16640.0,16647.9,1.89,31,16645.9412698413
2022-11-24 06:01:00+00:00,BNCU,16645.75,16658.91,16645.75,16650.0,5.526837,102,16651.384901089
2022-11-24 06:01:00+00:00,CBSE,16648.98,16657.38,16647.81,16649.43,11.41399335,211,16652.683907507
2022-11-24 06:01:00+00:00,ERSX,16647.4,16653.2,16645.8,16647.7,0.8321,38,16649.0688258623
2022-11-24 06:02:00+00:00,BNCU,16649.94,16650.82,16632.39,16634.87,3.203952,72,16637.584031237
2022-11-24 06:02:00+00:00,CBSE,16649.4,16649.4,16635.06,16638.63,15.81201429,318,16640.8506179944
2022-11-24 06:02:00+00:00,ERSX,16635.8,16637.1,16634.5,16634.5,1.32,6,16635.0712121212
2022-11-24 06:03:00+00:00,BNCU,16634.21,16634.95,16621.09,16628.7,5.081712,103,16629.8080463021
2022-11-24 06:03:00+00:00,CBSE,16638.36,16639.83,16622.76,16632.25,17.85118762,263,16628.6234724205
2022-11-24 06:03:00+00:00,ERSX,16632.1,16636.7,16623.8,16629.0,1.8523,26,16630.7781244939
2022-11-24 06:04:00+00:00,BNCU,16627.5,16646.35,16626.7,16643.4,9.74654,131,16640.5572127288
2022-11-24 06:04:00+00:00,CBSE,16631.4,16649.35,16630.08,16643.62,20.18940779,391,16639.6610977681
2022-11-24 06:04:00+00:00,ERSX,16630.6,16647.0,16629.9,16641.3,12.53,42,16642.1940785874
2022-11-24 06:05:00+00:00,BNCU,16642.8,16646.94,16633.36,16638.2,4.647201,71,16643.1257466849
2022-11-24 06:05:00+00:00,CBSE,16641.06,16649.11,16636.06,16637.59,12.3415255,282,16643.1812238568
2022-11-24 06:05:00+00:00,ERSX,16642.6,16647.6,16635.7,16639.1,1.43,21,16639.9293706294
2022-11-24 06:06:00+00:00,BNCU,16641.95,16645.57,16638.43,16641.94,1.587347,55,16640.9426143937
2022-11-24 06:06:00+00:00,CBSE,16641.31,16646.91,16638.63,16643.0,8.55791592,222,16642.249146146
2022-11-24 06:06:00+00:00,ERSX,16639.1,16643.7,16636.9,16639.9,0.79,29,16639.3620253165
2022-11-24 06:07:00+00:00,BNCU,16643.69,16652.6,16643.69,16645.29,0.991344,46,16648.5196897545
2022-11-24 06:07:00+00:00,CBSE,16643.03,16652.88,16641.86,16646.72,8.12168098,284,16647.969391902
2022-11-24 06:07:00+00:00,ERSX,16639.9,16648.6,16639.1,16639.1,0.1926,12,16643.1134994808
